사용일자,노선명,역ID,역명,승차총승객수,하차총승객수,등록일자,호선,구,동,상세주소,전화번호,상세주소_역이름
20191206,3호선,319,종로3가,13019.0,15991.0,20191209,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191206,3호선,319,종로3가,13019.0,15991.0,20191209,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191206,5호선,2535,종로3가,17615.0,17301.0,20191209,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191206,5호선,2535,종로3가,17615.0,17301.0,20191209,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191207,1호선,153,종로3가,37687.0,36926.0,20191210,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191207,1호선,153,종로3가,37687.0,36926.0,20191210,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191207,3호선,319,종로3가,8744.0,13626.0,20191210,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191207,3호선,319,종로3가,8744.0,13626.0,20191210,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191207,5호선,2535,종로3가,18803.0,18209.0,20191210,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191207,5호선,2535,종로3가,18803.0,18209.0,20191210,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191208,1호선,153,종로3가,22809.0,19859.0,20191211,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191208,1호선,153,종로3가,22809.0,19859.0,20191211,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191208,3호선,319,종로3가,5071.0,7515.0,20191211,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191208,3호선,319,종로3가,5071.0,7515.0,20191211,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191208,5호선,2535,종로3가,12360.0,10891.0,20191211,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191208,5호선,2535,종로3가,12360.0,10891.0,20191211,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191209,1호선,153,종로3가,35185.0,33137.0,20191212,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191209,1호선,153,종로3가,35185.0,33137.0,20191212,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191209,3호선,319,종로3가,12346.0,14563.0,20191212,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191209,3호선,319,종로3가,12346.0,14563.0,20191212,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191209,5호선,2535,종로3가,15835.0,15292.0,20191212,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191209,5호선,2535,종로3가,15835.0,15292.0,20191212,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191210,1호선,153,종로3가,36551.0,33993.0,20191213,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191210,1호선,153,종로3가,36551.0,33993.0,20191213,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191210,3호선,319,종로3가,12348.0,14563.0,20191213,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191210,3호선,319,종로3가,12348.0,14563.0,20191213,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191210,5호선,2535,종로3가,15886.0,15706.0,20191213,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191210,5호선,2535,종로3가,15886.0,15706.0,20191213,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191211,1호선,153,종로3가,36537.0,34252.0,20191214,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191211,1호선,153,종로3가,36537.0,34252.0,20191214,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191211,3호선,319,종로3가,12591.0,14886.0,20191214,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191211,3호선,319,종로3가,12591.0,14886.0,20191214,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191211,5호선,2535,종로3가,16896.0,16155.0,20191214,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191211,5호선,2535,종로3가,16896.0,16155.0,20191214,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191212,1호선,153,종로3가,37937.0,35434.0,20191215,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191212,1호선,153,종로3가,37937.0,35434.0,20191215,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191212,3호선,319,종로3가,12405.0,15054.0,20191215,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191212,3호선,319,종로3가,12405.0,15054.0,20191215,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191212,5호선,2535,종로3가,18100.0,17307.0,20191215,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191212,5호선,2535,종로3가,18100.0,17307.0,20191215,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191213,1호선,153,종로3가,39389.0,38154.0,20191216,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191213,1호선,153,종로3가,39389.0,38154.0,20191216,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191213,3호선,319,종로3가,12946.0,16650.0,20191216,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191213,3호선,319,종로3가,12946.0,16650.0,20191216,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191213,5호선,2535,종로3가,19297.0,19098.0,20191216,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191213,5호선,2535,종로3가,19297.0,19098.0,20191216,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191214,1호선,153,종로3가,41722.0,41201.0,20191217,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191214,1호선,153,종로3가,41722.0,41201.0,20191217,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191214,3호선,319,종로3가,9151.0,14578.0,20191217,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191214,3호선,319,종로3가,9151.0,14578.0,20191217,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191214,5호선,2535,종로3가,20283.0,20243.0,20191217,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191214,5호선,2535,종로3가,20283.0,20243.0,20191217,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191215,1호선,153,종로3가,24703.0,21927.0,20191218,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191215,1호선,153,종로3가,24703.0,21927.0,20191218,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191215,3호선,319,종로3가,5325.0,7958.0,20191218,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191215,3호선,319,종로3가,5325.0,7958.0,20191218,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191215,5호선,2535,종로3가,12782.0,11408.0,20191218,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191215,5호선,2535,종로3가,12782.0,11408.0,20191218,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
