company,date,closing_price
에스티팜,2019.07.23,"15,800"
에스티팜,2019.07.22,"15,950"
에스티팜,2019.07.19,"15,950"
에스티팜,2019.07.18,"16,000"
에스티팜,2019.07.17,"16,300"
에스티팜,2019.07.16,"16,700"
에스티팜,2019.07.15,"16,900"
에스티팜,2019.07.12,"17,250"
에스티팜,2019.07.11,"16,800"
에스티팜,2019.07.10,"16,450"
에스티팜,2019.07.09,"16,150"
에스티팜,2019.07.08,"16,250"
에스티팜,2019.07.05,"17,100"
에스티팜,2019.07.04,"17,050"
에스티팜,2019.07.03,"17,300"
에스티팜,2019.07.02,"17,250"
에스티팜,2019.07.01,"17,450"
에스티팜,2019.06.28,"17,300"
에스티팜,2019.06.27,"17,400"
에스티팜,2019.06.26,"17,950"
에스티팜,2019.06.25,"17,950"
에스티팜,2019.06.24,"18,150"
에스티팜,2019.06.21,"17,650"
에스티팜,2019.06.20,"18,300"
에스티팜,2019.06.19,"17,700"
에스티팜,2019.06.18,"17,750"
에스티팜,2019.06.17,"17,500"
에스티팜,2019.06.14,"17,850"
에스티팜,2019.06.13,"17,950"
에스티팜,2019.06.12,"18,100"
에스티팜,2019.06.11,"17,900"
에스티팜,2019.06.10,"17,450"
에스티팜,2019.06.07,"17,850"
에스티팜,2019.06.05,"17,300"
에스티팜,2019.06.04,"17,250"
에스티팜,2019.06.03,"17,450"
에스티팜,2019.05.31,"17,800"
에스티팜,2019.05.30,"17,500"
에스티팜,2019.05.29,"17,850"
에스티팜,2019.05.28,"18,600"
에스티팜,2019.05.27,"18,300"
에스티팜,2019.05.24,"18,950"
에스티팜,2019.05.23,"18,900"
에스티팜,2019.05.22,"20,000"
에스티팜,2019.05.21,"19,750"
에스티팜,2019.05.20,"19,950"
에스티팜,2019.05.17,"20,850"
에스티팜,2019.05.16,"20,800"
에스티팜,2019.05.15,"21,250"
에스티팜,2019.05.14,"20,950"
에스티팜,2019.05.13,"20,350"
에스티팜,2019.05.10,"20,500"
에스티팜,2019.05.09,"20,600"
에스티팜,2019.05.08,"21,700"
에스티팜,2019.05.07,"21,850"
에스티팜,2019.05.03,"22,600"
에스티팜,2019.05.02,"22,850"
에스티팜,2019.04.30,"22,850"
에스티팜,2019.04.29,"22,000"
에스티팜,2019.04.26,"22,000"
에스티팜,2019.04.25,"22,450"
에스티팜,2019.04.24,"22,150"
에스티팜,2019.04.23,"21,950"
에스티팜,2019.04.22,"21,950"
에스티팜,2019.04.19,"22,200"
에스티팜,2019.04.18,"21,800"
에스티팜,2019.04.17,"22,700"
에스티팜,2019.04.16,"22,650"
에스티팜,2019.04.15,"22,600"
에스티팜,2019.04.12,"23,200"
에스티팜,2019.04.11,"23,000"
에스티팜,2019.04.10,"22,900"
에스티팜,2019.04.09,"22,200"
에스티팜,2019.04.08,"21,950"
에스티팜,2019.04.05,"22,150"
에스티팜,2019.04.04,"22,250"
에스티팜,2019.04.03,"22,000"
에스티팜,2019.04.02,"22,200"
에스티팜,2019.04.01,"22,200"
에스티팜,2019.03.29,"22,000"
에스티팜,2019.03.28,"21,750"
에스티팜,2019.03.27,"22,300"
에스티팜,2019.03.26,"21,900"
에스티팜,2019.03.25,"21,500"
에스티팜,2019.03.22,"21,700"
에스티팜,2019.03.21,"22,250"
에스티팜,2019.03.20,"22,250"
에스티팜,2019.03.19,"23,000"
에스티팜,2019.03.18,"23,700"
에스티팜,2019.03.15,"23,850"
에스티팜,2019.03.14,"23,350"
에스티팜,2019.03.13,"24,000"
에스티팜,2019.03.12,"23,300"
에스티팜,2019.03.11,"22,600"
에스티팜,2019.03.08,"22,550"
에스티팜,2019.03.07,"22,300"
에스티팜,2019.03.06,"22,550"
에스티팜,2019.03.05,"23,050"
에스티팜,2019.03.04,"23,200"
에스티팜,2019.02.28,"22,150"
에스티팜,2019.02.27,"22,150"
에스티팜,2019.02.26,"22,000"
에스티팜,2019.02.25,"22,550"
에스티팜,2019.02.22,"22,650"
에스티팜,2019.02.21,"23,200"
에스티팜,2019.02.20,"22,000"
에스티팜,2019.02.19,"21,900"
에스티팜,2019.02.18,"22,250"
에스티팜,2019.02.15,"21,250"
에스티팜,2019.02.14,"21,750"
에스티팜,2019.02.13,"21,550"
에스티팜,2019.02.12,"21,450"
에스티팜,2019.02.11,"21,500"
에스티팜,2019.02.08,"20,300"
에스티팜,2019.02.07,"19,500"
에스티팜,2019.02.01,"19,000"
에스티팜,2019.01.31,"19,050"
에스티팜,2019.01.30,"19,000"
에스티팜,2019.01.29,"19,000"
에스티팜,2019.01.28,"19,200"
에스티팜,2019.01.25,"19,350"
에스티팜,2019.01.24,"19,000"
에스티팜,2019.01.23,"18,600"
에스티팜,2019.01.22,"18,500"
에스티팜,2019.01.21,"18,700"
에스티팜,2019.01.18,"18,850"
에스티팜,2019.01.17,"18,450"
에스티팜,2019.01.16,"18,800"
에스티팜,2019.01.15,"18,900"
에스티팜,2019.01.14,"18,600"
에스티팜,2019.01.11,"18,850"
에스티팜,2019.01.10,"18,700"
에스티팜,2019.01.09,"18,200"
에스티팜,2019.01.08,"17,550"
에스티팜,2019.01.07,"18,100"
에스티팜,2019.01.04,"18,100"
에스티팜,2019.01.03,"18,600"
에스티팜,2019.01.02,"19,350"
에스티팜,2018.12.28,"19,800"
에스티팜,2018.12.27,"20,050"
에스티팜,2018.12.26,"19,800"
에스티팜,2018.12.24,"19,600"
에스티팜,2018.12.21,"19,500"
에스티팜,2018.12.20,"19,500"
에스티팜,2018.12.19,"20,250"
에스티팜,2018.12.18,"19,950"
에스티팜,2018.12.17,"20,150"
에스티팜,2018.12.14,"20,000"
에스티팜,2018.12.13,"20,150"
에스티팜,2018.12.12,"19,900"
에스티팜,2018.12.11,"19,500"
에스티팜,2018.12.10,"20,150"
에스티팜,2018.12.07,"20,850"
에스티팜,2018.12.06,"20,850"
에스티팜,2018.12.05,"21,550"
에스티팜,2018.12.04,"21,900"
에스티팜,2018.12.03,"22,200"
에스티팜,2018.11.30,"21,650"
에스티팜,2018.11.29,"21,450"
에스티팜,2018.11.28,"21,600"
에스티팜,2018.11.27,"21,750"
에스티팜,2018.11.26,"21,700"
에스티팜,2018.11.23,"21,350"
에스티팜,2018.11.22,"22,050"
에스티팜,2018.11.21,"22,200"
에스티팜,2018.11.20,"21,850"
에스티팜,2018.11.19,"21,900"
에스티팜,2018.11.16,"21,900"
에스티팜,2018.11.15,"21,650"
에스티팜,2018.11.14,"20,900"
에스티팜,2018.11.13,"20,650"
에스티팜,2018.11.12,"20,950"
에스티팜,2018.11.09,"21,750"
에스티팜,2018.11.08,"21,400"
에스티팜,2018.11.07,"20,850"
에스티팜,2018.11.06,"21,950"
에스티팜,2018.11.05,"22,100"
에스티팜,2018.11.02,"22,000"
에스티팜,2018.11.01,"20,800"
에스티팜,2018.10.31,"21,000"
에스티팜,2018.10.30,"21,200"
에스티팜,2018.10.29,"20,400"
에스티팜,2018.10.26,"21,200"
에스티팜,2018.10.25,"22,700"
에스티팜,2018.10.24,"22,950"
에스티팜,2018.10.23,"23,700"
에스티팜,2018.10.22,"24,550"
에스티팜,2018.10.19,"24,850"
에스티팜,2018.10.18,"23,850"
에스티팜,2018.10.17,"24,200"
에스티팜,2018.10.16,"24,000"
에스티팜,2018.10.15,"24,550"
에스티팜,2018.10.12,"25,400"
에스티팜,2018.10.11,"24,350"
에스티팜,2018.10.10,"25,600"
에스티팜,2018.10.08,"26,300"
에스티팜,2018.10.05,"27,500"
에스티팜,2018.10.04,"27,750"
에스티팜,2018.10.02,"26,900"
에스티팜,2018.10.01,"27,300"
에스티팜,2018.09.28,"30,000"
에스티팜,2018.09.27,"34,350"
에스티팜,2018.09.21,"33,850"
에스티팜,2018.09.20,"33,700"
에스티팜,2018.09.19,"33,100"
에스티팜,2018.09.18,"32,800"
에스티팜,2018.09.17,"32,700"
에스티팜,2018.09.14,"33,450"
에스티팜,2018.09.13,"33,600"
에스티팜,2018.09.12,"33,850"
에스티팜,2018.09.11,"33,400"
에스티팜,2018.09.10,"33,750"
에스티팜,2018.09.07,"33,750"
에스티팜,2018.09.06,"34,500"
에스티팜,2018.09.05,"35,250"
에스티팜,2018.09.04,"35,600"
에스티팜,2018.09.03,"35,300"
에스티팜,2018.08.31,"34,800"
에스티팜,2018.08.30,"34,100"
에스티팜,2018.08.29,"34,650"
에스티팜,2018.08.28,"34,300"
에스티팜,2018.08.27,"34,450"
에스티팜,2018.08.24,"33,800"
에스티팜,2018.08.23,"33,600"
에스티팜,2018.08.22,"33,900"
에스티팜,2018.08.21,"34,350"
에스티팜,2018.08.20,"33,500"
에스티팜,2018.08.17,"33,600"
에스티팜,2018.08.16,"32,950"
에스티팜,2018.08.14,"33,400"
에스티팜,2018.08.13,"33,300"
에스티팜,2018.08.10,"35,700"
에스티팜,2018.08.09,"33,300"
에스티팜,2018.08.08,"33,650"
에스티팜,2018.08.07,"32,500"
에스티팜,2018.08.06,"32,900"
에스티팜,2018.08.03,"32,900"
에스티팜,2018.08.02,"32,800"
에스티팜,2018.08.01,"33,400"
에스티팜,2018.07.31,"32,800"
에스티팜,2018.07.30,"33,000"
에스티팜,2018.07.27,"35,150"
에스티팜,2018.07.26,"34,950"
에스티팜,2018.07.25,"34,550"
에스티팜,2018.07.24,"34,700"
에스티팜,2018.07.23,"35,450"
에스티팜,2018.07.20,"37,500"
에스티팜,2018.07.19,"37,650"
에스티팜,2018.07.18,"37,500"
에스티팜,2018.07.17,"39,800"
에스티팜,2018.07.16,"41,600"
에스티팜,2018.07.13,"41,350"
에스티팜,2018.07.12,"41,350"
에스티팜,2018.07.11,"38,900"
에스티팜,2018.07.10,"39,800"
에스티팜,2018.07.09,"40,200"
에스티팜,2018.07.06,"40,450"
에스티팜,2018.07.05,"38,900"
에스티팜,2018.07.04,"37,350"
에스티팜,2018.07.03,"36,400"
에스티팜,2018.07.02,"35,700"
에스티팜,2018.06.29,"36,750"
에스티팜,2018.06.28,"35,550"
에스티팜,2018.06.27,"36,050"
에스티팜,2018.06.26,"36,200"
에스티팜,2018.06.25,"36,300"
에스티팜,2018.06.22,"34,850"
에스티팜,2018.06.21,"33,800"
에스티팜,2018.06.20,"34,500"
에스티팜,2018.06.19,"33,300"
에스티팜,2018.06.18,"34,800"
에스티팜,2018.06.15,"36,200"
에스티팜,2018.06.14,"34,950"
에스티팜,2018.06.12,"35,800"
에스티팜,2018.06.11,"35,500"
에스티팜,2018.06.08,"35,000"
에스티팜,2018.06.07,"34,250"
에스티팜,2018.06.05,"33,850"
에스티팜,2018.06.04,"35,400"
에스티팜,2018.06.01,"35,800"
에스티팜,2018.05.31,"35,600"
에스티팜,2018.05.30,"32,650"
에스티팜,2018.05.29,"34,150"
에스티팜,2018.05.28,"35,350"
에스티팜,2018.05.25,"35,350"
에스티팜,2018.05.24,"34,650"
에스티팜,2018.05.23,"34,000"
에스티팜,2018.05.21,"34,700"
에스티팜,2018.05.18,"33,900"
에스티팜,2018.05.17,"34,350"
에스티팜,2018.05.16,"35,450"
에스티팜,2018.05.15,"35,400"
에스티팜,2018.05.14,"35,650"
에스티팜,2018.05.11,"36,000"
